,BlockGr202,Area
0,Allston,41547595.117437065
1,Back Bay,15387244.589316335
2,Beacon Hill,7891524.14234324
3,Brighton,76581556.96647654
4,Charlestown,51270214.059762076
5,Chinatown,3436019.1473931256
6,Dorchester,219303798.44797635
7,Downtown,21590099.817893405
8,East Boston,194861798.29366857
9,Fenway,42813573.67924114
10,Harbor Islands,93237861.52735278
11,Hyde Park,139261815.31618547
12,Jamaica Plain,113360419.51452446
13,Longwood Medical Area,6850799.678625002
14,Mattapan,58415969.62558351
15,Mission Hill,15031623.044142464
16,North End,8469988.456614807
17,Roslindale,67087028.82091069
18,Roxbury,96512955.84442478
19,South Boston,116460848
21,South End,22409950.91781033
22,West End,8374876.155028603
23,West Roxbury,145687578.7691659
