Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,NO2,O3,PM10,PM2.5,SO2,AQI,Category,ZipCode
Allston,173,144,2831.85,3011,3444,3300,400,4,24.231629213483146,19.90612359550562,27.68831460674157,10.316910112359553,0.2320224719101123,41.59550561797753,Good air quality,2134
Back Bay,1686,3759,11842.96,6923,9075,5316,1892,6,25.3691215526047,19.69635342185904,25.851348314606742,11.155995914198162,0.27182328907048003,43.77272727272727,Good air quality,2116
Bay Village,1249,1711,4292.93,6008,5640,3929,1122,7,25.223408239700372,19.76425093632959,32.98880149812734,8.177996254681648,0.30048689138576773,39.200374531835216,Good air quality,2116
Brighton,4244,5847,23936.8,19768,22914,17067,5502,8,23.221051364365973,20.08868378812199,26.907098715890843,10.012760834670946,0.24933386837881216,39.829454253611566,Good air quality,2135
Charlestown,3301,1811,6461.47,3981,5968,4157,1535,2,16.95612359550562,20.362059925093632,16.98638576779026,8.215374531835206,0.2601498127340824,34.166666666666664,Good air quality,2222
Dorchester,17424,6535,25010.76,50778,29284,22749,9819,3,21.24061206386753,20.798101714961565,21.226487285629805,9.759450029568304,0.40190715552927264,38.7495564754583,Good air quality,2122
East Boston,8665,4147,14824.6,25459,17845,13698,5180,10,14.943711878009632,20.88778892455859,14.034153290529698,7.843667736757625,0.3033667736757625,32.5870786516854,Good air quality,2128
Fenway,453,496,10080.74,9808,7177,6681,1240,7,26.461694756554312,19.674447565543073,31.07851123595505,11.707743445692884,0.23772471910112355,45.62827715355805,Good air quality,2115
Harbor Islands,0,12,230.53,370,361,349,179,0,12.616573033707866,20.755955056179776,9.26561797752809,6.131516853932585,0.3711797752808989,26.84831460674157,Good air quality,2212
Hyde Park,3256,2219,6412.46,11132,4902,2683,2117,0,16.883370786516856,26.098089887640448,22.78752808988764,8.980168539325843,0.3646067415730337,35.98314606741573,Good air quality,2136
Jamaica Plain,7300,4381,16600.57,22247,17366,12985,4570,7,22.943846441947564,20.03216104868914,28.809808988764036,10.389853932584272,0.3524868913857678,41.23558052434456,Good air quality,2121
Leather District,465,812,2397.59,2378,2065,1253,457,9,25.56196629213483,19.815449438202247,38.34123595505618,6.560674157303371,0.3163483146067415,36.35955056179776,Good air quality,2111
Longwood Medical Area,118,11,1824.08,1480,197,186,207,0,23.43455056179776,19.676685393258428,31.16376404494381,9.611460674157303,0.2278089887640449,38.061797752808985,Good air quality,2215
Mattapan,8859,4073,12396.87,28276,13604,9531,5605,4,18.49565308988764,22.686004213483145,19.240175561797752,8.941488764044944,0.3927317415730337,35.488061797752806,Good air quality,2124
Mission Hill,1973,1525,8467.93,10624,10394,8869,2215,10,24.56723595505618,19.579640449438205,28.765134831460678,11.164966292134832,0.32578651685393256,43.6752808988764,Good air quality,2115
North End,1028,2122,7217.86,2957,5277,3155,1338,7,24.22770599250936,20.073876404494385,27.392752808988764,11.618539325842697,0.2809176029962546,45.203183520599254,Good air quality,2113
Roslindale,13324,8231,24029.32,33106,19480,11249,7286,1,16.015948813982522,22.670499375780274,20.378139825218472,7.238795255930087,0.3674531835205992,30.981273408239694,Good air quality,2131
Roxbury,19517,6675,28235.1,67217,39947,33272,12611,10,22.12748900830484,19.929286761113833,21.843861748900828,9.842501221299461,0.3912212994626282,39.002931118710315,Good air quality,2118
South Boston,3455,2395,8925.16,4258,7886,5491,2143,0,23.151556982343497,20.170216693418933,20.0907544141252,8.874285714285715,0.3674799357945426,35.6107544141252,Good air quality,2127
South Boston Waterfront,392,456,2514.9300000000003,598,1057,601,357,12,22.510711610486894,20.23559925093633,20.12250936329588,8.975243445692884,0.3670599250936329,35.98689138576779,Good air quality,2127
South End,2552,1421,6516.8,6384,5925,4504,1874,6,23.89749438202247,19.659988764044943,26.215921348314602,10.834943820224717,0.32366292134831454,42.72247191011236,Good air quality,2116
West End,467,772,2807.8199999999997,1400,2184,1412,472,1,26.242640449438202,19.845805243445692,21.81432584269663,10.423389513108614,0.27243445692883894,41.70973782771535,Good air quality,2114
West Roxbury,4758,3632,9078.9,9121,7254,3622,2580,0,14.23474157303371,24.638438202247194,16.81270786516854,7.163685393258428,0.34910112359550555,31.034831460674162,Good air quality,2136
